feature,importance
dry_days_consec,32.57437291790599
gdd_cumul,15.235910280171634
elevation_m,9.620772422377714
slope_deg,6.123694024101999
agro_zone,5.740272540698439
aspect_deg,4.479320212968019
variety_cluster,3.2368310605580275
precip_cumul,2.5209865595473278
VV_lag4,2.177252959680164
district_code,2.085061328747004
ndvi_rate,1.8657167628385494
ndwi_lag4,1.3803588498901809
rolling_max_ndvi_30d,0.9977273380859418
vh_vv_ratio,0.919510339963493
VH_lag4,0.8849674976980308
vh_rate,0.8665069390559972
VV,0.8552258087414121
et0_cumul,0.8447007142376024
VV_lag3,0.7451933033052759
VV_lag2,0.6142271319254802
bsi,0.5897826155820279
days_since_sos,0.4905269539103912
gdd_daily,0.4453807222097611
ndvi_lag4,0.33887710586233527
rep,0.3085059671674933
VH,0.2889030960682124
t_min,0.27785029086733937
days_since_rolling_max_30d,0.26691619062615185
ndwi,0.26672114353849213
lswi,0.2650475039155392
days_since_valid_optical,0.26190776249137615
ndvi,0.2404461940906344
spatial_ndvi_5km,0.23500649680553143
precip_7d,0.22933859782065705
ndvi_lag3,0.19896031110730944
et0_mm,0.16295311307347318
ndwi_lag3,0.15540239387804644
ndvi_lag2,0.1362968138695032
rolling_amplitude_30d,0.11764564782200897
cumul_ndvi_to_t,0.1072158434423567
vpd,0.09595956629720004
ndvi_accel,0.09538260675024329
ndwi_lag2,0.09472706993523074
ndvi_lag1,0.09179728997853502
VH_lag1,0.08832081041126222
VV_lag1,0.07313128110867455
growth_phase,0.05501806141882955
VH_lag3,0.053940010350340024
t_max,0.04863649878844252
VH_lag2,0.04010853656716525
ndwi_lag1,0.03661482274527407
solar_rad,0.0359221613437332
wind_speed,0.020731075233972236
vh_accel,0.014836938818870693
precip_mm,0.0025795136053055976
is_cropland,0.0
worldcover_class,0.0
