node_id,lat,lon,biomass_tonnage,days_since_harvest,time_window_start_hr,time_window_end_hr
DEPOT,30.900965,75.857277,0.0,999,0,24
FARM_001,30.775505,76.307991,27.0,7,7,18
FARM_002,30.50094,75.816526,15.0,8,8,20
FARM_003,31.370875,76.18972,11.4,1,9,17
FARM_004,30.925721,75.789222,13.7,10,9,19
FARM_005,30.767327,75.813347,28.6,19,9,19
FARM_006,30.99338,75.403727,23.2,9,7,19
FARM_007,31.343167,75.920565,16.6,2,9,19
FARM_008,30.841117,75.479315,19.9,15,8,16
FARM_009,30.659745,76.019799,14.4,6,7,19
FARM_010,30.585819,76.326862,28.3,2,7,19
FARM_011,30.998865,76.279151,7.7,8,10,20
FARM_012,30.672314,76.186015,15.7,13,6,20
FARM_013,31.203162,75.431828,34.6,1,9,18
FARM_014,30.599807,76.068619,28.7,5,7,17
FARM_015,30.516834,76.22038,23.7,2,6,20
FARM_016,31.130571,75.994834,31.6,1,8,20
FARM_017,31.372677,76.206191,26.7,14,8,16
FARM_018,31.111628,75.468168,18.2,19,6,19
FARM_019,30.964241,76.052793,9.2,7,10,18
FARM_020,30.604026,76.300131,23.0,19,9,17
FARM_021,31.025319,75.652911,8.2,12,9,19
FARM_022,31.293524,75.896619,29.2,7,6,16
FARM_023,30.6289,75.784385,29.5,9,8,18
FARM_024,30.818376,75.579385,8.6,12,8,16
FARM_025,30.804801,75.422169,12.6,12,7,18
FARM_026,30.701843,75.642117,6.1,17,7,17
FARM_027,30.812002,75.390328,15.4,1,8,17
FARM_028,30.9319,75.80506,21.6,4,8,18
FARM_029,30.643125,76.160417,19.1,2,8,16
FARM_030,30.551683,75.865476,25.9,3,9,19
FARM_031,31.078529,75.373865,20.4,19,9,19
FARM_032,31.341488,75.754849,20.5,8,6,18
FARM_033,30.742031,75.470751,32.7,10,8,19
FARM_034,30.57592,76.339445,20.5,17,7,16
FARM_035,30.494068,76.254493,32.0,9,6,18
FARM_036,31.101323,76.203938,30.7,1,9,18
FARM_037,31.3366,76.142618,25.1,3,6,18
FARM_038,31.374629,75.641198,14.2,2,8,20
FARM_039,30.625234,76.069456,12.1,16,9,18
FARM_040,31.058578,75.925586,7.8,19,10,18
FARM_041,31.293012,75.988416,28.8,1,9,16
FARM_042,30.596208,76.079729,13.4,3,6,16
FARM_043,31.395516,75.827222,13.4,6,8,19
FARM_044,30.416422,76.285596,17.8,3,9,16
FARM_045,30.476311,75.662974,10.7,1,8,17
FARM_046,30.957766,76.293432,25.9,8,7,17
FARM_047,30.655129,75.652568,14.7,8,6,16
FARM_048,31.103449,75.716768,13.8,3,7,16
FARM_049,31.012479,75.438871,5.2,4,10,19
FARM_050,31.050929,76.059244,28.9,12,8,19
FARM_051,30.97983,75.795751,25.2,19,6,17
FARM_052,30.94361,75.643818,22.7,17,9,17
FARM_053,31.223566,75.717468,8.8,1,10,19
FARM_054,30.616786,75.980167,7.6,13,9,18
FARM_055,31.038395,76.083368,34.3,10,8,16
FARM_056,30.799786,75.790798,27.3,5,7,20
FARM_057,30.481838,75.785591,25.7,1,7,17
FARM_058,30.557402,75.60752,21.5,16,6,20
FARM_059,30.680899,76.312142,27.1,5,10,18
FARM_060,30.648696,75.71325,27.7,14,9,20
FARM_061,30.495122,75.66869,34.4,5,9,17
FARM_062,31.164329,76.16419,15.4,5,7,17
FARM_063,31.350111,76.243957,12.8,10,7,18
FARM_064,30.904101,76.213767,24.8,4,7,16
FARM_065,31.268164,75.993681,29.0,12,7,18
FARM_066,31.044253,75.81553,21.4,5,9,18
FARM_067,31.221392,76.008762,11.2,13,9,17
FARM_068,30.439928,75.975531,15.1,8,10,17
FARM_069,31.082579,75.697902,12.8,7,9,17
FARM_070,31.097702,75.98622,31.3,4,6,20
FARM_071,31.368546,75.905249,17.7,3,6,18
FARM_072,30.813583,75.729295,28.3,5,9,16
FARM_073,31.08081,76.097186,12.1,17,6,19
FARM_074,31.227422,75.677327,31.9,17,9,19
FARM_075,31.359506,76.20442,15.6,14,9,18
FARM_076,30.893991,75.440561,7.8,12,6,19
FARM_077,31.073483,76.109652,28.7,7,10,20
FARM_078,30.895385,75.414836,21.5,5,8,20
FARM_079,30.75188,75.474344,9.3,10,7,19
FARM_080,31.267834,76.195758,17.8,8,7,16
FARM_081,31.222825,76.063519,7.4,5,8,20
FARM_082,30.771607,76.170077,33.4,13,9,19
FARM_083,30.777225,75.440778,28.3,7,8,17
FARM_084,31.307319,75.468474,19.8,13,7,19
FARM_085,30.972438,76.098251,28.0,9,6,18
FARM_086,30.984334,76.31945,16.2,17,6,16
FARM_087,30.624561,76.3205,5.4,13,10,20
FARM_088,30.444366,76.28192,32.6,4,8,18
FARM_089,31.370268,75.880375,23.9,14,6,20
FARM_090,31.09789,75.741479,27.1,11,9,17
FARM_091,31.351376,76.247541,18.7,8,7,19
FARM_092,31.047813,75.745545,11.9,5,6,19
FARM_093,31.387176,76.055439,21.1,1,10,19
FARM_094,31.003747,75.628235,9.0,3,10,17
FARM_095,30.817604,75.93844,32.6,10,7,18
FARM_096,30.446184,75.383644,16.3,1,7,16
FARM_097,30.777704,76.106855,16.8,17,10,16
FARM_098,30.869658,75.772097,13.2,16,9,16
FARM_099,30.935311,76.107188,32.4,5,10,20
FARM_100,31.158046,75.735128,12.2,9,6,18
