node_id,lat,lon,biomass_tonnage,days_since_harvest,time_window_start_hr,time_window_end_hr
DEPOT,30.900965,75.857277,0.0,999,0,24
FARM_001_PART1,30.775505,76.307991,15.0,7,7,18
FARM_001_PART2,30.775505,76.307991,12.0,7,7,18
FARM_002,30.50094,75.816526,15.0,8,8,20
FARM_004,30.925721,75.789222,13.7,10,9,19
FARM_005_PART1,30.767327,75.813347,15.0,19,9,19
FARM_005_PART2,30.767327,75.813347,13.6,19,9,19
FARM_006_PART1,30.99338,75.403727,15.0,9,7,19
FARM_006_PART2,30.99338,75.403727,8.2,9,7,19
FARM_008_PART1,30.841117,75.479315,15.0,15,8,16
FARM_008_PART2,30.841117,75.479315,4.9,15,8,16
FARM_009,30.659745,76.019799,14.4,6,7,19
FARM_011,30.998865,76.279151,7.7,8,10,20
FARM_012_PART1,30.672314,76.186015,15.0,13,6,20
FARM_012_PART2,30.672314,76.186015,0.7,13,6,20
FARM_014_PART1,30.599807,76.068619,15.0,5,7,17
FARM_014_PART2,30.599807,76.068619,13.7,5,7,17
FARM_017_PART1,31.372677,76.206191,15.0,14,8,16
FARM_017_PART2,31.372677,76.206191,11.7,14,8,16
FARM_018_PART1,31.111628,75.468168,15.0,19,6,19
FARM_018_PART2,31.111628,75.468168,3.2,19,6,19
FARM_019,30.964241,76.052793,9.2,7,10,18
FARM_020_PART1,30.604026,76.300131,15.0,19,9,17
FARM_020_PART2,30.604026,76.300131,8.0,19,9,17
FARM_021,31.025319,75.652911,8.2,12,9,19
FARM_022_PART1,31.293524,75.896619,15.0,7,6,16
FARM_022_PART2,31.293524,75.896619,14.2,7,6,16
FARM_023_PART1,30.6289,75.784385,15.0,9,8,18
FARM_023_PART2,30.6289,75.784385,14.5,9,8,18
FARM_024,30.818376,75.579385,8.6,12,8,16
FARM_025,30.804801,75.422169,12.6,12,7,18
FARM_026,30.701843,75.642117,6.1,17,7,17
FARM_028_PART1,30.9319,75.80506,15.0,4,8,18
FARM_028_PART2,30.9319,75.80506,6.6,4,8,18
FARM_030_PART1,30.551683,75.865476,15.0,3,9,19
FARM_030_PART2,30.551683,75.865476,10.9,3,9,19
FARM_031_PART1,31.078529,75.373865,15.0,19,9,19
FARM_031_PART2,31.078529,75.373865,5.4,19,9,19
FARM_032_PART1,31.341488,75.754849,15.0,8,6,18
FARM_032_PART2,31.341488,75.754849,5.5,8,6,18
FARM_033_PART1,30.742031,75.470751,15.0,10,8,19
FARM_033_PART2,30.742031,75.470751,15.0,10,8,19
FARM_033_PART3,30.742031,75.470751,2.7,10,8,19
FARM_034_PART1,30.57592,76.339445,15.0,17,7,16
FARM_034_PART2,30.57592,76.339445,5.5,17,7,16
FARM_035_PART1,30.494068,76.254493,15.0,9,6,18
FARM_035_PART2,30.494068,76.254493,15.0,9,6,18
FARM_035_PART3,30.494068,76.254493,2.0,9,6,18
FARM_037_PART1,31.3366,76.142618,15.0,3,6,18
FARM_037_PART2,31.3366,76.142618,10.1,3,6,18
FARM_039,30.625234,76.069456,12.1,16,9,18
FARM_040,31.058578,75.925586,7.8,19,10,18
FARM_042,30.596208,76.079729,13.4,3,6,16
FARM_043,31.395516,75.827222,13.4,6,8,19
FARM_044_PART1,30.416422,76.285596,15.0,3,9,16
FARM_044_PART2,30.416422,76.285596,2.8,3,9,16
FARM_046_PART1,30.957766,76.293432,15.0,8,7,17
FARM_046_PART2,30.957766,76.293432,10.9,8,7,17
FARM_047,30.655129,75.652568,14.7,8,6,16
FARM_048,31.103449,75.716768,13.8,3,7,16
FARM_049,31.012479,75.438871,5.2,4,10,19
FARM_050_PART1,31.050929,76.059244,15.0,12,8,19
FARM_050_PART2,31.050929,76.059244,13.9,12,8,19
FARM_051_PART1,30.97983,75.795751,15.0,19,6,17
FARM_051_PART2,30.97983,75.795751,10.2,19,6,17
FARM_052_PART1,30.94361,75.643818,15.0,17,9,17
FARM_052_PART2,30.94361,75.643818,7.7,17,9,17
FARM_054,30.616786,75.980167,7.6,13,9,18
FARM_055_PART1,31.038395,76.083368,15.0,10,8,16
FARM_055_PART2,31.038395,76.083368,15.0,10,8,16
FARM_055_PART3,31.038395,76.083368,4.3,10,8,16
FARM_056_PART1,30.799786,75.790798,15.0,5,7,20
