feature,importance
dry_days_consec,28.198993534826208
gdd_cumul,10.27610147016546
elevation_m,9.945026254610921
slope_deg,8.025918607528864
agro_zone,5.919040516521204
aspect_deg,5.217114374357951
variety_cluster,3.7464409108100396
district_code,3.5887048113266786
precip_cumul,3.5791344363537405
ndwi_lag4,2.902298579016014
ndvi_rate,2.223194953030317
VH_lag4,1.727152243267069
ndvi_lag4,1.2853732331812422
gdd_daily,0.929467767427581
rolling_max_ndvi_30d,0.925172809069014
VV,0.8697611273098443
VV_lag4,0.8291113371513804
et0_cumul,0.7384186803094588
cumul_ndvi_to_t,0.6236600019098676
vh_rate,0.5763507619853491
VH,0.5344038914182693
rep,0.5322787534556784
vpd,0.44025844954285637
days_since_valid_optical,0.4300594600937589
ndwi,0.42669651470762704
days_since_sos,0.3922997785271038
ndvi_accel,0.3873052918635952
t_min,0.3336158199437965
bsi,0.3238585959027769
lswi,0.3059979978156509
vh_vv_ratio,0.28977946357715856
ndwi_lag3,0.270898186124469
VV_lag3,0.26913203524285817
VV_lag2,0.26063967634092144
VV_lag1,0.2575099854264821
vh_accel,0.2211494480638683
spatial_ndvi_5km,0.2131145922131904
ndvi_lag3,0.18546019504741143
VH_lag2,0.1791810283396876
VH_lag3,0.17834640202468122
rolling_amplitude_30d,0.16657124562325712
ndwi_lag2,0.14851562540321803
VH_lag1,0.145870438192421
ndvi,0.12695725601440128
et0_mm,0.12648085302985854
days_since_rolling_max_30d,0.11723813335421761
solar_rad,0.10067693437703595
ndvi_lag2,0.09103163397141364
precip_7d,0.08732961668095186
wind_speed,0.08197711685355911
ndwi_lag1,0.069963246364481
ndvi_lag1,0.06252470914517717
t_max,0.04903003530713932
precip_mm,0.028631756558179722
worldcover_class,0.02175340892536518
growth_phase,0.014831238294083997
is_cropland,0.002194776075205189
